Part;Value;Device;Package;Description;MF;MPN;OC_FARNELL;OC_NEWARK;POPULARITY;PROD_ID;SF_SKU;SPICEPREFIX;
C28;0.1uF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;88;;;C;
R23;1.8R;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;;;;
R40;1.8R;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;;;;
R45;1.8R;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;;;;
R52;1.8R;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;;;;
C3;100n;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;
C4;100n;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;
C6;100n;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;
C7;100n;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;
C8;100n;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;
C13;100n;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;
C15;100n;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;
C16;100n;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;
C18;100n;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;
C36;100n;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;
C37;100n;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;
C42;100n;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;
C43;100n;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;
C48;100n;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;
C49;100n;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;
C95;100n;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;
C96;100n;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;
C98;100n;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;
C99;100n;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;
C101;100n;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;
C102;100n;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;
C27;100nF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;88;;;C;
R68;10k;R-EU_R0402;R0402;RESISTOR, European symbol;;;;;0;;;R;
R69;10k;R-EU_R0402;R0402;RESISTOR, European symbol;;;;;0;;;R;
R75;10k;R-EU_R0402;R0402;RESISTOR, European symbol;;;;;0;;;R;
C11;10n;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;
R85;10R;R-EU_R1206;R1206;RESISTOR, European symbol;;;;;41;;;R;
C2;10u;C-EUC1206;C1206;CAPACITOR, European symbol;;;;;54;;;C;
C14;10u;C-EUC1206;C1206;CAPACITOR, European symbol;;;;;54;;;C;
C21;10u;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;
C23;10u;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;
C40;10u;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;
C46;10u;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;
C52;10u;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;
C97;10u;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;
C100;10u;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;
C103;10u;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;
C19;10uF;C-EUC1210;C1210;CAPACITOR, European symbol;;;;;0;;;C;
C20;10uF;C-EUC1210;C1210;CAPACITOR, European symbol;;;;;0;;;C;
R36;12k;R-EU_R0402;R0402;RESISTOR, European symbol;;;;;0;;;R;
R77;15k;R-EU_R0402;R0402;RESISTOR, European symbol;;;;;0;;;R;
R11;15R;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;;;;
R14;15R;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;;;;
R41;15R;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;;;;
R48;15R;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;;;;
R57;15R;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;;;;
R70;15R;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;;;;
R71;15R;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;;;;
R122;16m7R;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;;;;
R88;180k;R-EU_R0402;R0402;RESISTOR, European symbol;;;;;0;;;R;
R20;180R;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;;;;
R42;180R;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;;;;
R49;180R;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;;;;
R72;180R;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;;;;
R9;18k;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;70;;;R;
R15;18k;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;70;;;R;
R16;18k;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;70;;;R;
R17;18k;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;70;;;R;
R39;18k;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;70;;;R;
R46;18k;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;70;;;R;
R61;18k;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;;;;
R62;18k;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;70;;;R;
R87;18k;R-EU_R0402;R0402;RESISTOR, European symbol;;;;;0;;;R;
R106;18k;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;;;;
R8;1k;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;;;;
R12;1k;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;70;;;R;
R24;1k;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;70;;;R;
R25;1k;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;70;;;R;
R26;1k;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;70;;;R;
R27;1k;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;70;;;R;
R28;1k;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;70;;;R;
R29;1k;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;70;;;R;
R30;1k;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;70;;;R;
R31;1k;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;;;;
R32;1k;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;;;;
R33;1k;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;70;;;R;
R34;1k;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;70;;;R;
R35;1k;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;70;;;R;
R53;1k;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;70;;;R;
R60;1k;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;70;;;R;
R63;1k;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;;;;
R10;1k8;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;;;;
R19;1k8R;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;;;;
R59;1k8R;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;;;;
R18;1R;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;;;;
R54;1R;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;;;;
R58;1R;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;;;;
R64;1R;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;;;;
R67;1R;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;;;;
R78;1R;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;;;;
R83;1R;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;;;;
C1;1u/6,3V;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;
C22;1uF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;88;;;C;
C24;1uF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;88;;;C;
C26;1uF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;88;;;C;
R13;2.2R;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;;;;
R22;2.2R;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;;;;
R44;2.2R;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;;;;
R51;2.2R;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;;;;
C29;2.2uF;C-EUC0805;C0805;CAPACITOR, European symbol;;;;;88;;;C;
C17;20uF;C-EUC1210;C1210;CAPACITOR, European symbol;;;;;0;;;C;
C9;22p;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;
C10;22p;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;
C87;22p;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;
R73;27k;R-EU_R0402;R0402;RESISTOR, European symbol;;;;;0;;;R;
U$46;2N7002;2N7002;2N7002;2N7002E -- Vishay Siliconix;;;;;;;;;
R86;2R;R-EU_R2012;R2012;RESISTOR, European symbol;;;;;0;;;R;
R37;33k;R-EU_R0402;R0402;RESISTOR, European symbol;;;;;0;;;R;
R79;39k;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;;;;
R80;39kR;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;;;;
R81;39kR;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;;;;
R47;3k3R;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;;;;
R55;3k3R;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;;;;
R65;3k3R;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;;;;
R66;3k3R;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;;;;
R21;3k9R;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;;;;
R43;3k9R;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;;;;
R50;3k9R;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;;;;
R76;3k9R;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;;;;
C5;4.7u;C-EUC0603;C0603;CAPACITOR, European symbol;;;;;;;;;
U$45;4.7uH;IHLP-2525CZ-01;IHLP-2525CZ-01;Vishay Dale -- IHLP-2525CZ-01;;;;;;;;B;
R74;470k;R-EU_R0402;R0402;RESISTOR, European symbol;;;;;0;;;R;
R1;47k;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;;;;
R2;47k;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;;;;
R3;47k;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;;;;
R4;47k;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;;;;
R5;47k;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;;;;
R6;47k;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;;;;
R7;47k;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;;;;
C12;47u;C-EUC1206;C1206;CAPACITOR, European symbol;;;;;54;;;C;
C25;47u;C-EUC1206;C1206;CAPACITOR, European symbol;;;;;54;;;C;
Q1;7.3728 MHz;XTAL/S;QS;CRYSTAL — TXC DIP HC-49S 9B SERIES ;;;;;59;;;;
R38;7.5mR;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;;;;
R120;83mR;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;;;;
R121;83mR;R-EU_R0603;R0603;RESISTOR, European symbol;;;;;;;;;
U$48;BAT54C;BAT54C;BAT54C;Diode, Dual Schottky, 30-V, 200-mA, SOT-23, Fairchild, BAT54C;;;;;;;;;
U$12;BLM21PG221SN1;BLM21PG221SN1;BLM21PG221SN1;Murata (R) Chip Ferrite Bead -- BLM21xxxxxxSNx-Series;;;;;;;;;
U$13;BLM21PG221SN1;BLM21PG221SN1;BLM21PG221SN1;Murata (R) Chip Ferrite Bead -- BLM21xxxxxxSNx-Series;;;;;;;;;
U$15;BLM21PG221SN1;BLM21PG221SN1;BLM21PG221SN1;Murata (R) Chip Ferrite Bead -- BLM21xxxxxxSNx-Series;;;;;;;;;
U$36;BQ24650;BQ24650;BQ24650;Texas Instruments -- bq24650;;;;;;;;;
U$11;DLP11SN900HL2;DLP11SN900HL2;DLP11SN900HL2;Murata (R) Chip Common Mode Choke Coil DLP11SNxxxxL2x-Series;;;;;;;;;
U$14;DUP2201MR6;DUP2201MR6;NUP2201MR6;ON Semiconductor (R) -- ESD Protection Diode -- Low Clamping Voltage;;;;;;;;;
IC1;FT232RL;FT232RL;SSOP28;Source: http://www.ftdichip.com/Documents/DataSheets/DS_FT232R_v104.pdf;;FT232RL;1146032;91K9918;14;;;;
LED1;green;LEDCHIP-LED0603;CHIP-LED0603;LED;;;;;;;;;
LED2;green;LEDCHIP-LED0603;CHIP-LED0603;LED;;;;;;;;L;
LED3;green;LEDCHIP-LED0603;CHIP-LED0603;LED;;;;;;;;;
LED4;green;LEDCHIP-LED0603;CHIP-LED0603;LED;;;;;;;;;
LED5;green;LEDCHIPLED_0603;CHIPLED_0603;LED;;;;;28;;;;
LED6;green;LEDCHIPLED_0603;CHIPLED_0603;LED;;;;;28;;;;
M1;IM-X8X;IM-X8X;IM-X8X;The iM881Ais  a  compact,  low  power,  bidirectional  radio  module  for  the  868MHz frequency  bandusing  Semtech’s  LoRaTMmodulation technology.;;;;;;;;;
U$27;INA138;INA138;INA138;Texas Instruments -- INA1x8 High-Side Measurement Current Shunt Monitor;;;;;;;;;
U$28;INA138;INA138;INA138;Texas Instruments -- INA1x8 High-Side Measurement Current Shunt Monitor;;;;;;;;;
U$29;INA138;INA138;INA138;Texas Instruments -- INA1x8 High-Side Measurement Current Shunt Monitor;;;;;;;;;
IC3;MCP1703CB;MCP1703CB;SOT23;250 mA, 16V, Low Quiescent Current LDO Regulator;;;;;19;;;;
U$10;MCP33131-05;MCP33131-05;MCP33131-05;Microchip -- MCP33131/21/11-XX --  1Msps/500kSPS 16/14/12-Bit Single-Ended Input SAR ADC;;;;;;;;;
U$16;MCP33131-05;MCP33131-05;MCP33131-05;Microchip -- MCP33131/21/11-XX --  1Msps/500kSPS 16/14/12-Bit Single-Ended Input SAR ADC;;;;;;;;;
U$17;MCP33131-05;MCP33131-05;MCP33131-05;Microchip -- MCP33131/21/11-XX --  1Msps/500kSPS 16/14/12-Bit Single-Ended Input SAR ADC;;;;;;;;;
U$20;MCP33131-05;MCP33131-05;MCP33131-05;Microchip -- MCP33131/21/11-XX --  1Msps/500kSPS 16/14/12-Bit Single-Ended Input SAR ADC;;;;;;;;;
U$21;MCP33131-05;MCP33131-05;MCP33131-05;Microchip -- MCP33131/21/11-XX --  1Msps/500kSPS 16/14/12-Bit Single-Ended Input SAR ADC;;;;;;;;;
U$24;MCP33131-05;MCP33131-05;MCP33131-05;Microchip -- MCP33131/21/11-XX --  1Msps/500kSPS 16/14/12-Bit Single-Ended Input SAR ADC;;;;;;;;;
U$25;MCP33131-05;MCP33131-05;MCP33131-05;Microchip -- MCP33131/21/11-XX --  1Msps/500kSPS 16/14/12-Bit Single-Ended Input SAR ADC;;;;;;;;;
U$26;MCP33131-05;MCP33131-05;MCP33131-05;Microchip -- MCP33131/21/11-XX --  1Msps/500kSPS 16/14/12-Bit Single-Ended Input SAR ADC;;;;;;;;;
IC2;MEGA64-A;MEGA64-A;TQFP64;MICROCONTROLLER, AVR ATmega64;;ATMEGA64-16AU;9171355;01M6899;1;;;;
S1;MOMENTARY-SWITCH-SPST-SMD-6.0X3.5MM;MOMENTARY-SWITCH-SPST-SMD-6.0X3.5MM;TACTILE_SWITCH_SMD_6.0X3.5MM;Momentary Switch (Pushbutton) - SPST;;;;;;SWCH-00815;COM-08229;;
U$2;NXP_BC847;NXP_BC847;NXP_BC847;NXP -- BC847 -- NPN General Purpose Transistors;;;;;;;;;
U$34;NXP_BC847;NXP_BC847;NXP_BC847;NXP -- BC847 -- NPN General Purpose Transistors;;;;;;;;;
U$35;NXP_BC847;NXP_BC847;NXP_BC847;NXP -- BC847 -- NPN General Purpose Transistors;;;;;;;;;
U$37;NXP_BC847;NXP_BC847;NXP_BC847;NXP -- BC847 -- NPN General Purpose Transistors;;;;;;;;;
U$38;NXP_BC847;NXP_BC847;NXP_BC847;NXP -- BC847 -- NPN General Purpose Transistors;;;;;;;;;
U$39;NXP_BC847;NXP_BC847;NXP_BC847;NXP -- BC847 -- NPN General Purpose Transistors;;;;;;;;;
U$40;NXP_BC847;NXP_BC847;NXP_BC847;NXP -- BC847 -- NPN General Purpose Transistors;;;;;;;;;
U$41;NXP_BC847;NXP_BC847;NXP_BC847;NXP -- BC847 -- NPN General Purpose Transistors;;;;;;;;;
U$44;NXP_BC847;NXP_BC847;NXP_BC847;NXP -- BC847 -- NPN General Purpose Transistors;;;;;;;;;
U$3;NXP_BC857;NXP_BC857;NXP_BC857;"NXP - BC856; BC857; BC858 -- PNP General Purpose Transistors";;;;;;;;;
U$7;NXP_BC857;NXP_BC857;NXP_BC857;"NXP - BC856; BC857; BC858 -- PNP General Purpose Transistors";;;;;;;;;
U$9;NXP_BC857;NXP_BC857;NXP_BC857;"NXP - BC856; BC857; BC858 -- PNP General Purpose Transistors";;;;;;;;;
U$30;NXP_BC857;NXP_BC857;NXP_BC857;"NXP - BC856; BC857; BC858 -- PNP General Purpose Transistors";;;;;;;;;
U$31;NXP_BC857;NXP_BC857;NXP_BC857;"NXP - BC856; BC857; BC858 -- PNP General Purpose Transistors";;;;;;;;;
U$32;NXP_BC857;NXP_BC857;NXP_BC857;"NXP - BC856; BC857; BC858 -- PNP General Purpose Transistors";;;;;;;;;
U$33;NXP_BC857;NXP_BC857;NXP_BC857;"NXP - BC856; BC857; BC858 -- PNP General Purpose Transistors";;;;;;;;;
U$43;NXP_BC857;NXP_BC857;NXP_BC857;"NXP - BC856; BC857; BC858 -- PNP General Purpose Transistors";;;;;;;;;
U$49;PDS1040;PDS1040;PDS1040;Diode, Schottky Rectifier, 40-V, 10-A, PDS1040;;;;;;;;;
X2;PN61729-S;PN61729-S;PN61729-S;BERG USB connector;;;unknown;unknown;11;;;;
U$4;REF31XX-Q1;REF31XX-Q1;REF31XX-Q1;Texas Instruments REF31xx-Q1 15ppm/°C Maximum, 100-mikroA, SOT-23 Series Voltage Reference;;;;;;;;;
U$5;REF31XX-Q1;REF31XX-Q1;REF31XX-Q1;Texas Instruments REF31xx-Q1 15ppm/°C Maximum, 100-mikroA, SOT-23 Series Voltage Reference;;;;;;;;;
U$6;REF31XX-Q1;REF31XX-Q1;REF31XX-Q1;Texas Instruments REF31xx-Q1 15ppm/°C Maximum, 100-mikroA, SOT-23 Series Voltage Reference;;;;;;;;;
U$8;REF31XX-Q1;REF31XX-Q1;REF31XX-Q1;Texas Instruments REF31xx-Q1 15ppm/°C Maximum, 100-mikroA, SOT-23 Series Voltage Reference;;;;;;;;;
U$18;REF31XX-Q1;REF31XX-Q1;REF31XX-Q1;Texas Instruments REF31xx-Q1 15ppm/°C Maximum, 100-mikroA, SOT-23 Series Voltage Reference;;;;;;;;;
U$19;REF31XX-Q1;REF31XX-Q1;REF31XX-Q1;Texas Instruments REF31xx-Q1 15ppm/°C Maximum, 100-mikroA, SOT-23 Series Voltage Reference;;;;;;;;;
U$22;REF31XX-Q1;REF31XX-Q1;REF31XX-Q1;Texas Instruments REF31xx-Q1 15ppm/°C Maximum, 100-mikroA, SOT-23 Series Voltage Reference;;;;;;;;;
U$23;REF31XX-Q1;REF31XX-Q1;REF31XX-Q1;Texas Instruments REF31xx-Q1 15ppm/°C Maximum, 100-mikroA, SOT-23 Series Voltage Reference;;;;;;;;;
U$42;SIR404DP;SIR404DP;SIR404DP;Vishay Siliconix SiR404DP -- N-Channel 20V (D-S) MOSFET;;;;;;;;;
U$47;SIR404DP;SIR404DP;SIR404DP;Vishay Siliconix SiR404DP -- N-Channel 20V (D-S) MOSFET;;;;;;;;;
X1;SMA-142-0701-801/806;SMA-142-0701-801/806;J502-ND-142-0701-801/806;SMA 50 Ohm End Launch Jack Receptacle - Round Contact;JOHNSON COMPONENTS;142-0701-801;1608592;90F2624;5;;;;
+V_LOAD;SMDPAD;SMDPAD;SMDPAD;SMD Solder Pad -- mainly intended for connecting thicker wires for batteries and motors.;;;;;;;;;
BAT0+;SMDPAD;SMDPAD;SMDPAD;SMD Solder Pad -- mainly intended for connecting thicker wires for batteries and motors.;;;;;;;;;
BAT0-;SMDPAD;SMDPAD;SMDPAD;SMD Solder Pad -- mainly intended for connecting thicker wires for batteries and motors.;;;;;;;;;
BAT1+;SMDPAD;SMDPAD;SMDPAD;SMD Solder Pad -- mainly intended for connecting thicker wires for batteries and motors.;;;;;;;;;
BAT1-;SMDPAD;SMDPAD;SMDPAD;SMD Solder Pad -- mainly intended for connecting thicker wires for batteries and motors.;;;;;;;;;
BAT2+;SMDPAD;SMDPAD;SMDPAD;SMD Solder Pad -- mainly intended for connecting thicker wires for batteries and motors.;;;;;;;;;
BAT2-;SMDPAD;SMDPAD;SMDPAD;SMD Solder Pad -- mainly intended for connecting thicker wires for batteries and motors.;;;;;;;;;
BAT3+;SMDPAD;SMDPAD;SMDPAD;SMD Solder Pad -- mainly intended for connecting thicker wires for batteries and motors.;;;;;;;;;
BAT3-;SMDPAD;SMDPAD;SMDPAD;SMD Solder Pad -- mainly intended for connecting thicker wires for batteries and motors.;;;;;;;;;
SOLAR+;SMDPAD;SMDPAD;SMDPAD;SMD Solder Pad -- mainly intended for connecting thicker wires for batteries and motors.;;;;;;;;;
SOLAR-;SMDPAD;SMDPAD;SMDPAD;SMD Solder Pad -- mainly intended for connecting thicker wires for batteries and motors.;;;;;;;;;
V_LOAD-;SMDPAD;SMDPAD;SMDPAD;SMD Solder Pad -- mainly intended for connecting thicker wires for batteries and motors.;;;;;;;;;
U$1;TSR-1-XXXX;TSR-1-XXXX;TSR-1-XXXX;Non-Isolated DC/DC Converter (POL) by Traco Power - TSR 1-2433;;;;;;;;;
PAD1;V-R56;SMD2;SMD1,27-2,54;SMD PAD;;;;;15;;;;
PAD4;V-R82;SMD2;SMD1,27-2,54;SMD PAD;;;;;15;;;;
PAD2;V+R56;SMD2;SMD1,27-2,54;SMD PAD;;;;;15;;;;
PAD3;V+R82;SMD2;SMD1,27-2,54;SMD PAD;;;;;15;;;;
JP1;;PINHD-2X5;2X05;PIN HEADER;;;;;35;;;;
JP2;;PINHD-2X3;2X03;PIN HEADER;;;;;62;;;;
R56;;R-TRIMM;RTRIMCA6;Trimm resistor — CA6 Carbon Potentiometers CA ;;;;;;;;;
R82;;R-TRIMM;RTRIMCA6;Trimm resistor — CA6 Carbon Potentiometers CA ;;;;;;;;;
T1;;SI7157DP;SI7157DP;Vishay Siliconix - Si157DP -- P-Channel 20V (D-S) MOSFET;;;;;;;;J;
T2;;SI7157DP;SI7157DP;Vishay Siliconix - Si157DP -- P-Channel 20V (D-S) MOSFET;;;;;;;;;
T15;;SI7157DP;SI7157DP;Vishay Siliconix - Si157DP -- P-Channel 20V (D-S) MOSFET;;;;;;;;;
T16;;SI7157DP;SI7157DP;Vishay Siliconix - Si157DP -- P-Channel 20V (D-S) MOSFET;;;;;;;;;
T17;;SI7157DP;SI7157DP;Vishay Siliconix - Si157DP -- P-Channel 20V (D-S) MOSFET;;;;;;;;;
T18;;SI7157DP;SI7157DP;Vishay Siliconix - Si157DP -- P-Channel 20V (D-S) MOSFET;;;;;;;;;
T19;;SI7157DP;SI7157DP;Vishay Siliconix - Si157DP -- P-Channel 20V (D-S) MOSFET;;;;;;;;;
T20;;SI7157DP;SI7157DP;Vishay Siliconix - Si157DP -- P-Channel 20V (D-S) MOSFET;;;;;;;;;
T21;;SI7157DP;SI7157DP;Vishay Siliconix - Si157DP -- P-Channel 20V (D-S) MOSFET;;;;;;;;;
T22;;SI7157DP;SI7157DP;Vishay Siliconix - Si157DP -- P-Channel 20V (D-S) MOSFET;;;;;;;;;
T23;;SI7157DP;SI7157DP;Vishay Siliconix - Si157DP -- P-Channel 20V (D-S) MOSFET;;;;;;;;;
T24;;SI7157DP;SI7157DP;Vishay Siliconix - Si157DP -- P-Channel 20V (D-S) MOSFET;;;;;;;;;